Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
1	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm001.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm002.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm003.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm004.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm005.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm006.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm007.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm008.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm009.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm010.png,-2.00,-2.00,129.74,129.74)
2	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm011.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm012.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm013.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm014.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm015.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm016.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm017.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm018.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm019.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm020.png,-2.00,-2.00,129.74,129.74)
3	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm021.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm022.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm023.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm024.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm025.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm026.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm027.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm028.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm029.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm030.png,-2.00,-2.00,129.74,129.74)
4	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm031.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm032.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm033.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm034.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm035.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm036.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm037.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm038.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm039.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm040.png,-2.00,-2.00,129.74,129.74)
5	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm041.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm042.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm043.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm044.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm045.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm046.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm047.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm048.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm049.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm050.png,-2.00,-2.00,129.74,129.74)
6	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm051.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm052.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm053.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm054.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm055.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm056.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm057.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm058.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm059.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm060.png,-2.00,-2.00,129.74,129.74)
7	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm061.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm062.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm063.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm064.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm065.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm066.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm067.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm068.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm069.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm070.png,-2.00,-2.00,129.74,129.74)
8	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm071.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm072.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm073.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm074.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm075.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm076.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm077.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm078.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm079.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm080.png,-2.00,-2.00,129.74,129.74)
9	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm081.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm082.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm083.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm084.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm085.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm086.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm087.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm088.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm089.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm090.png,-2.00,-2.00,129.74,129.74)
10	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(hexaworm091.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm092.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm093.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm094.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm095.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm096.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm097.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm098.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm099.png,-2.00,-2.00,129.74,129.74)	pic(hexaworm100.png,-2.00,-2.00,129.74,129.74)
