Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6
1	1	1	stimulus_show5img	fix(0.00,0.00)	pic(1.png,-2.00,-2.00,144.16,144.16)	pic(2.png,-2.00,-2.00,144.16,144.16)	pic(3.png,-2.00,-2.00,144.16,144.16)	pic(4.png,-2.00,-2.00,144.16,144.16)	pic(5.png,-2.00,-2.00,144.16,144.16)
2	1	1	stimulus_show5img	fix(0.00,0.00)	pic(6.png,-2.00,-2.00,144.16,144.16)	pic(7.png,-2.00,-2.00,144.16,144.16)	pic(8.png,-2.00,-2.00,144.16,144.16)	pic(9.png,-2.00,-2.00,144.16,144.16)	pic(10.png,-2.00,-2.00,144.16,144.16)
3	1	1	stimulus_show5img	fix(0.00,0.00)	pic(11.png,-2.00,-2.00,144.16,144.16)	pic(12.png,-2.00,-2.00,144.16,144.16)	pic(13.png,-2.00,-2.00,144.16,144.16)	pic(14.png,-2.00,-2.00,144.16,144.16)	pic(15.png,-2.00,-2.00,144.16,144.16)
4	1	1	stimulus_show5img	fix(0.00,0.00)	pic(16.png,-2.00,-2.00,144.16,144.16)	pic(17.png,-2.00,-2.00,144.16,144.16)	pic(18.png,-2.00,-2.00,144.16,144.16)	pic(19.png,-2.00,-2.00,144.16,144.16)	pic(20.png,-2.00,-2.00,144.16,144.16)
5	1	1	stimulus_show5img	fix(0.00,0.00)	pic(21.png,-2.00,-2.00,144.16,144.16)	pic(22.png,-2.00,-2.00,144.16,144.16)	pic(23.png,-2.00,-2.00,144.16,144.16)	pic(24.png,-2.00,-2.00,144.16,144.16)	pic(25.png,-2.00,-2.00,144.16,144.16)
6	1	1	stimulus_show5img	fix(0.00,0.00)	pic(26.png,-2.00,-2.00,144.16,144.16)	pic(27.png,-2.00,-2.00,144.16,144.16)	pic(28.png,-2.00,-2.00,144.16,144.16)	pic(29.png,-2.00,-2.00,144.16,144.16)	pic(30.png,-2.00,-2.00,144.16,144.16)
7	1	1	stimulus_show5img	fix(0.00,0.00)	pic(31.png,-2.00,-2.00,144.16,144.16)	pic(32.png,-2.00,-2.00,144.16,144.16)	pic(33.png,-2.00,-2.00,144.16,144.16)	pic(34.png,-2.00,-2.00,144.16,144.16)	pic(35.png,-2.00,-2.00,144.16,144.16)
8	1	1	stimulus_show5img	fix(0.00,0.00)	pic(36.png,-2.00,-2.00,144.16,144.16)	pic(37.png,-2.00,-2.00,144.16,144.16)	pic(38.png,-2.00,-2.00,144.16,144.16)	pic(39.png,-2.00,-2.00,144.16,144.16)	pic(40.png,-2.00,-2.00,144.16,144.16)
9	1	1	stimulus_show5img	fix(0.00,0.00)	pic(41.png,-2.00,-2.00,144.16,144.16)	pic(42.png,-2.00,-2.00,144.16,144.16)	pic(43.png,-2.00,-2.00,144.16,144.16)	pic(44.png,-2.00,-2.00,144.16,144.16)	pic(45.png,-2.00,-2.00,144.16,144.16)
10	1	1	stimulus_show5img	fix(0.00,0.00)	pic(46.png,-2.00,-2.00,144.16,144.16)	pic(47.png,-2.00,-2.00,144.16,144.16)	pic(48.png,-2.00,-2.00,144.16,144.16)	pic(49.png,-2.00,-2.00,144.16,144.16)	pic(50.png,-2.00,-2.00,144.16,144.16)
11	1	1	stimulus_show5img	fix(0.00,0.00)	pic(51.png,-2.00,-2.00,144.16,144.16)	pic(52.png,-2.00,-2.00,144.16,144.16)	pic(53.png,-2.00,-2.00,144.16,144.16)	pic(54.png,-2.00,-2.00,144.16,144.16)	pic(55.png,-2.00,-2.00,144.16,144.16)
12	1	1	stimulus_show5img	fix(0.00,0.00)	pic(56.png,-2.00,-2.00,144.16,144.16)	pic(57.png,-2.00,-2.00,144.16,144.16)	pic(58.png,-2.00,-2.00,144.16,144.16)	pic(59.png,-2.00,-2.00,144.16,144.16)	pic(60.png,-2.00,-2.00,144.16,144.16)
