Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
1	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim001.png,-2.00,-2.00,576.62,576.62)
2	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim002.png,-2.00,-2.00,576.62,576.62)
3	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim003.png,-2.00,-2.00,576.62,576.62)
4	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim004.png,-2.00,-2.00,576.62,576.62)
5	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim005.png,-2.00,-2.00,576.62,576.62)
6	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim006.png,-2.00,-2.00,576.62,576.62)
7	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim007.png,-2.00,-2.00,576.62,576.62)
8	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim008.png,-2.00,-2.00,576.62,576.62)
9	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim009.png,-2.00,-2.00,576.62,576.62)
10	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim010.png,-2.00,-2.00,576.62,576.62)
11	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim011.png,-2.00,-2.00,576.62,576.62)
12	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim012.png,-2.00,-2.00,576.62,576.62)
13	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim013.png,-2.00,-2.00,576.62,576.62)
14	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim014.png,-2.00,-2.00,576.62,576.62)
15	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim015.png,-2.00,-2.00,576.62,576.62)
16	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim016.png,-2.00,-2.00,576.62,576.62)
17	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim017.png,-2.00,-2.00,576.62,576.62)
18	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim018.png,-2.00,-2.00,576.62,576.62)
19	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim019.png,-2.00,-2.00,576.62,576.62)
20	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim020.png,-2.00,-2.00,576.62,576.62)
21	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim021.png,-2.00,-2.00,576.62,576.62)
22	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim022.png,-2.00,-2.00,576.62,576.62)
23	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim023.png,-2.00,-2.00,576.62,576.62)
24	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim024.png,-2.00,-2.00,576.62,576.62)
25	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim025.png,-2.00,-2.00,576.62,576.62)
26	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim026.png,-2.00,-2.00,576.62,576.62)
27	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim027.png,-2.00,-2.00,576.62,576.62)
28	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim028.png,-2.00,-2.00,576.62,576.62)
29	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim029.png,-2.00,-2.00,576.62,576.62)
30	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim030.png,-2.00,-2.00,576.62,576.62)
31	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim031.png,-2.00,-2.00,576.62,576.62)
32	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim032.png,-2.00,-2.00,576.62,576.62)
33	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim033.png,-2.00,-2.00,576.62,576.62)
34	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim034.png,-2.00,-2.00,576.62,576.62)
35	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim035.png,-2.00,-2.00,576.62,576.62)
36	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim036.png,-2.00,-2.00,576.62,576.62)
37	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim037.png,-2.00,-2.00,576.62,576.62)
38	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim038.png,-2.00,-2.00,576.62,576.62)
39	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim039.png,-2.00,-2.00,576.62,576.62)
40	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim040.png,-2.00,-2.00,576.62,576.62)
41	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim041.png,-2.00,-2.00,576.62,576.62)
42	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim042.png,-2.00,-2.00,576.62,576.62)
43	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim043.png,-2.00,-2.00,576.62,576.62)
44	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim044.png,-2.00,-2.00,576.62,576.62)
45	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim045.png,-2.00,-2.00,576.62,576.62)
46	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim046.png,-2.00,-2.00,576.62,576.62)
47	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim047.png,-2.00,-2.00,576.62,576.62)
48	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim048.png,-2.00,-2.00,576.62,576.62)
49	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim049.png,-2.00,-2.00,576.62,576.62)
50	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim050.png,-2.00,-2.00,576.62,576.62)
51	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim051.png,-2.00,-2.00,576.62,576.62)
52	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim052.png,-2.00,-2.00,576.62,576.62)
53	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim053.png,-2.00,-2.00,576.62,576.62)
54	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim054.png,-2.00,-2.00,576.62,576.62)
55	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim055.png,-2.00,-2.00,576.62,576.62)
56	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim056.png,-2.00,-2.00,576.62,576.62)
57	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim057.png,-2.00,-2.00,576.62,576.62)
58	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim058.png,-2.00,-2.00,576.62,576.62)
59	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim059.png,-2.00,-2.00,576.62,576.62)
60	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim060.png,-2.00,-2.00,576.62,576.62)
61	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim061.png,-2.00,-2.00,576.62,576.62)
62	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim062.png,-2.00,-2.00,576.62,576.62)
63	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim063.png,-2.00,-2.00,576.62,576.62)
64	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim064.png,-2.00,-2.00,576.62,576.62)
65	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim065.png,-2.00,-2.00,576.62,576.62)
66	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim066.png,-2.00,-2.00,576.62,576.62)
67	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim067.png,-2.00,-2.00,576.62,576.62)
68	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim068.png,-2.00,-2.00,576.62,576.62)
69	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim069.png,-2.00,-2.00,576.62,576.62)
70	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim070.png,-2.00,-2.00,576.62,576.62)
71	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim071.png,-2.00,-2.00,576.62,576.62)
72	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim072.png,-2.00,-2.00,576.62,576.62)
73	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim073.png,-2.00,-2.00,576.62,576.62)
74	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim074.png,-2.00,-2.00,576.62,576.62)
75	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim075.png,-2.00,-2.00,576.62,576.62)
76	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim076.png,-2.00,-2.00,576.62,576.62)
77	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim077.png,-2.00,-2.00,576.62,576.62)
78	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim078.png,-2.00,-2.00,576.62,576.62)
79	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim079.png,-2.00,-2.00,576.62,576.62)
80	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim080.png,-2.00,-2.00,576.62,576.62)
81	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim081.png,-2.00,-2.00,576.62,576.62)
82	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim082.png,-2.00,-2.00,576.62,576.62)
83	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim083.png,-2.00,-2.00,576.62,576.62)
84	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim084.png,-2.00,-2.00,576.62,576.62)
85	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim085.png,-2.00,-2.00,576.62,576.62)
86	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim086.png,-2.00,-2.00,576.62,576.62)
87	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim087.png,-2.00,-2.00,576.62,576.62)
88	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim088.png,-2.00,-2.00,576.62,576.62)
89	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim089.png,-2.00,-2.00,576.62,576.62)
90	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim090.png,-2.00,-2.00,576.62,576.62)
91	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim091.png,-2.00,-2.00,576.62,576.62)
92	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim092.png,-2.00,-2.00,576.62,576.62)
93	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim093.png,-2.00,-2.00,576.62,576.62)
94	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim094.png,-2.00,-2.00,576.62,576.62)
95	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim095.png,-2.00,-2.00,576.62,576.62)
96	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim096.png,-2.00,-2.00,576.62,576.62)
97	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim097.png,-2.00,-2.00,576.62,576.62)
98	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim098.png,-2.00,-2.00,576.62,576.62)
99	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim099.png,-2.00,-2.00,576.62,576.62)
100	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim100.png,-2.00,-2.00,576.62,576.62)
101	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim101.png,-2.00,-2.00,576.62,576.62)
102	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim102.png,-2.00,-2.00,576.62,576.62)
103	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim103.png,-2.00,-2.00,576.62,576.62)
104	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim104.png,-2.00,-2.00,576.62,576.62)
105	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim105.png,-2.00,-2.00,576.62,576.62)
106	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim106.png,-2.00,-2.00,576.62,576.62)
107	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim107.png,-2.00,-2.00,576.62,576.62)
108	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim108.png,-2.00,-2.00,576.62,576.62)
109	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim109.png,-2.00,-2.00,576.62,576.62)
110	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim110.png,-2.00,-2.00,576.62,576.62)
111	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim111.png,-2.00,-2.00,576.62,576.62)
112	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim112.png,-2.00,-2.00,576.62,576.62)
113	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim113.png,-2.00,-2.00,576.62,576.62)
114	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim114.png,-2.00,-2.00,576.62,576.62)
115	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim115.png,-2.00,-2.00,576.62,576.62)
116	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim116.png,-2.00,-2.00,576.62,576.62)
117	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim117.png,-2.00,-2.00,576.62,576.62)
118	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim118.png,-2.00,-2.00,576.62,576.62)
119	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim119.png,-2.00,-2.00,576.62,576.62)
120	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim120.png,-2.00,-2.00,576.62,576.62)
121	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim121.png,-2.00,-2.00,576.62,576.62)
122	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim122.png,-2.00,-2.00,576.62,576.62)
123	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim123.png,-2.00,-2.00,576.62,576.62)
124	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim124.png,-2.00,-2.00,576.62,576.62)
125	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim125.png,-2.00,-2.00,576.62,576.62)
126	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim126.png,-2.00,-2.00,576.62,576.62)
127	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim127.png,-2.00,-2.00,576.62,576.62)
128	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim128.png,-2.00,-2.00,576.62,576.62)
129	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim129.png,-2.00,-2.00,576.62,576.62)
130	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim130.png,-2.00,-2.00,576.62,576.62)
131	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim131.png,-2.00,-2.00,576.62,576.62)
