Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
1	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim001.png,0.00,0.00,288.31,288.31)	pic(stim002.png,0.00,0.00,288.31,288.31)	pic(stim003.png,0.00,0.00,288.31,288.31)	pic(stim004.png,0.00,0.00,288.31,288.31)	pic(stim005.png,0.00,0.00,288.31,288.31)	pic(stim006.png,0.00,0.00,288.31,288.31)	pic(stim007.png,0.00,0.00,288.31,288.31)	pic(stim008.png,0.00,0.00,288.31,288.31)	pic(stim009.png,0.00,0.00,288.31,288.31)	pic(stim010.png,0.00,0.00,288.31,288.31)
2	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim011.png,0.00,0.00,288.31,288.31)	pic(stim012.png,0.00,0.00,288.31,288.31)	pic(stim013.png,0.00,0.00,288.31,288.31)	pic(stim014.png,0.00,0.00,288.31,288.31)	pic(stim015.png,0.00,0.00,288.31,288.31)	pic(stim016.png,0.00,0.00,288.31,288.31)	pic(stim017.png,0.00,0.00,288.31,288.31)	pic(stim018.png,0.00,0.00,288.31,288.31)	pic(stim019.png,0.00,0.00,288.31,288.31)	pic(stim020.png,0.00,0.00,288.31,288.31)
3	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim021.png,0.00,0.00,288.31,288.31)	pic(stim022.png,0.00,0.00,288.31,288.31)	pic(stim023.png,0.00,0.00,288.31,288.31)	pic(stim024.png,0.00,0.00,288.31,288.31)	pic(stim025.png,0.00,0.00,288.31,288.31)	pic(stim026.png,0.00,0.00,288.31,288.31)	pic(stim027.png,0.00,0.00,288.31,288.31)	pic(stim028.png,0.00,0.00,288.31,288.31)	pic(stim029.png,0.00,0.00,288.31,288.31)	pic(stim030.png,0.00,0.00,288.31,288.31)
4	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim031.png,0.00,0.00,288.31,288.31)	pic(stim032.png,0.00,0.00,288.31,288.31)	pic(stim033.png,0.00,0.00,288.31,288.31)	pic(stim034.png,0.00,0.00,288.31,288.31)	pic(stim035.png,0.00,0.00,288.31,288.31)	pic(stim036.png,0.00,0.00,288.31,288.31)	pic(stim037.png,0.00,0.00,288.31,288.31)	pic(stim038.png,0.00,0.00,288.31,288.31)	pic(stim039.png,0.00,0.00,288.31,288.31)	pic(stim040.png,0.00,0.00,288.31,288.31)
5	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim041.png,0.00,0.00,288.31,288.31)	pic(stim042.png,0.00,0.00,288.31,288.31)	pic(stim043.png,0.00,0.00,288.31,288.31)	pic(stim044.png,0.00,0.00,288.31,288.31)	pic(stim045.png,0.00,0.00,288.31,288.31)	pic(stim046.png,0.00,0.00,288.31,288.31)	pic(stim047.png,0.00,0.00,288.31,288.31)	pic(stim048.png,0.00,0.00,288.31,288.31)	pic(stim049.png,0.00,0.00,288.31,288.31)	pic(stim050.png,0.00,0.00,288.31,288.31)
6	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim051.png,0.00,0.00,288.31,288.31)	pic(stim052.png,0.00,0.00,288.31,288.31)	pic(stim053.png,0.00,0.00,288.31,288.31)	pic(stim054.png,0.00,0.00,288.31,288.31)	pic(stim055.png,0.00,0.00,288.31,288.31)	pic(stim056.png,0.00,0.00,288.31,288.31)	pic(stim057.png,0.00,0.00,288.31,288.31)	pic(stim058.png,0.00,0.00,288.31,288.31)	pic(stim059.png,0.00,0.00,288.31,288.31)	pic(stim060.png,0.00,0.00,288.31,288.31)
7	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim061.png,0.00,0.00,288.31,288.31)	pic(stim062.png,0.00,0.00,288.31,288.31)	pic(stim063.png,0.00,0.00,288.31,288.31)	pic(stim064.png,0.00,0.00,288.31,288.31)	pic(stim065.png,0.00,0.00,288.31,288.31)	pic(stim066.png,0.00,0.00,288.31,288.31)	pic(stim067.png,0.00,0.00,288.31,288.31)	pic(stim068.png,0.00,0.00,288.31,288.31)	pic(stim069.png,0.00,0.00,288.31,288.31)	pic(stim070.png,0.00,0.00,288.31,288.31)
8	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim071.png,0.00,0.00,288.31,288.31)	pic(stim072.png,0.00,0.00,288.31,288.31)	pic(stim073.png,0.00,0.00,288.31,288.31)	pic(stim074.png,0.00,0.00,288.31,288.31)	pic(stim075.png,0.00,0.00,288.31,288.31)	pic(stim076.png,0.00,0.00,288.31,288.31)	pic(stim077.png,0.00,0.00,288.31,288.31)	pic(stim078.png,0.00,0.00,288.31,288.31)	pic(stim079.png,0.00,0.00,288.31,288.31)	pic(stim080.png,0.00,0.00,288.31,288.31)
9	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim081.png,0.00,0.00,288.31,288.31)	pic(stim082.png,0.00,0.00,288.31,288.31)	pic(stim083.png,0.00,0.00,288.31,288.31)	pic(stim084.png,0.00,0.00,288.31,288.31)	pic(stim085.png,0.00,0.00,288.31,288.31)	pic(stim086.png,0.00,0.00,288.31,288.31)	pic(stim087.png,0.00,0.00,288.31,288.31)	pic(stim088.png,0.00,0.00,288.31,288.31)	pic(stim089.png,0.00,0.00,288.31,288.31)	pic(stim090.png,0.00,0.00,288.31,288.31)
10	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim091.png,0.00,0.00,288.31,288.31)	pic(stim092.png,0.00,0.00,288.31,288.31)	pic(stim093.png,0.00,0.00,288.31,288.31)	pic(stim094.png,0.00,0.00,288.31,288.31)	pic(stim095.png,0.00,0.00,288.31,288.31)	pic(stim096.png,0.00,0.00,288.31,288.31)	pic(stim097.png,0.00,0.00,288.31,288.31)	pic(stim098.png,0.00,0.00,288.31,288.31)	pic(stim099.png,0.00,0.00,288.31,288.31)	pic(stim100.png,0.00,0.00,288.31,288.31)
