Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
1	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
2	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
3	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
4	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
5	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
6	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
7	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
8	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
9	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir20.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
10	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir20.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
11	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad20.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
12	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad20.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
13	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir37.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
14	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir37.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
15	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad37.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
16	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad37.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
17	2	5 6 7	dms	fix(0.00,0.00)	pic(cir49.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
18	2	5 6 7	dms	fix(0.00,0.00)	pic(cir49.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
19	2	5 6 7	dms	fix(0.00,0.00)	pic(rad49.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
20	2	5 6 7	dms	fix(0.00,0.00)	pic(rad49.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
21	2	6 7	dms	fix(0.00,0.00)	pic(cir90.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)
22	2	6 7	dms	fix(0.00,0.00)	pic(cir90.png,-7.00,-2.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)
23	2	6 7	dms	fix(0.00,0.00)	pic(rad90.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,-10.00,0.00,342.37,342.37)	pic(cir0.png,10.00,0.00,342.37,342.37)
24	2	6 7	dms	fix(0.00,0.00)	pic(rad90.png,-7.00,-2.00,342.37,342.37)	pic(rad0.png,10.00,0.00,342.37,342.37)	pic(cir0.png,-10.00,0.00,342.37,342.37)
