Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17	TaskObject#18	TaskObject#19	TaskObject#20	TaskObject#21
1	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim075.png,-10.00,-3.00,720.78,720.78)	pic(stim564.png,-10.00,-3.00,720.78,720.78)	pic(stim384.png,-10.00,-3.00,720.78,720.78)	pic(stim473.png,-10.00,-3.00,720.78,720.78)	pic(stim568.png,-10.00,-3.00,720.78,720.78)	pic(stim549.png,-10.00,-3.00,720.78,720.78)	pic(stim293.png,-10.00,-3.00,720.78,720.78)	pic(stim363.png,-10.00,-3.00,720.78,720.78)	pic(stim127.png,-10.00,-3.00,720.78,720.78)	pic(stim521.png,-10.00,-3.00,720.78,720.78)	pic(stim191.png,-10.00,-3.00,720.78,720.78)	pic(stim072.png,-10.00,-3.00,720.78,720.78)	pic(stim638.png,-10.00,-3.00,720.78,720.78)	pic(stim166.png,-10.00,-3.00,720.78,720.78)	pic(stim025.png,-10.00,-3.00,720.78,720.78)	pic(stim340.png,-10.00,-3.00,720.78,720.78)	pic(stim311.png,-10.00,-3.00,720.78,720.78)	pic(stim267.png,-10.00,-3.00,720.78,720.78)	pic(stim231.png,-10.00,-3.00,720.78,720.78)	pic(stim456.png,-10.00,-3.00,720.78,720.78)
2	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim536.png,-10.00,-3.00,720.78,720.78)	pic(stim227.png,-10.00,-3.00,720.78,720.78)	pic(stim197.png,-10.00,-3.00,720.78,720.78)	pic(stim022.png,-10.00,-3.00,720.78,720.78)	pic(stim586.png,-10.00,-3.00,720.78,720.78)	pic(stim437.png,-10.00,-3.00,720.78,720.78)	pic(stim190.png,-10.00,-3.00,720.78,720.78)	pic(stim557.png,-10.00,-3.00,720.78,720.78)	pic(stim244.png,-10.00,-3.00,720.78,720.78)	pic(stim069.png,-10.00,-3.00,720.78,720.78)	pic(stim354.png,-10.00,-3.00,720.78,720.78)	pic(stim143.png,-10.00,-3.00,720.78,720.78)	pic(stim122.png,-10.00,-3.00,720.78,720.78)	pic(stim312.png,-10.00,-3.00,720.78,720.78)	pic(stim163.png,-10.00,-3.00,720.78,720.78)	pic(stim551.png,-10.00,-3.00,720.78,720.78)	pic(stim430.png,-10.00,-3.00,720.78,720.78)	pic(stim476.png,-10.00,-3.00,720.78,720.78)	pic(stim030.png,-10.00,-3.00,720.78,720.78)	pic(stim096.png,-10.00,-3.00,720.78,720.78)
3	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim214.png,-10.00,-3.00,720.78,720.78)	pic(stim518.png,-10.00,-3.00,720.78,720.78)	pic(stim081.png,-10.00,-3.00,720.78,720.78)	pic(stim048.png,-10.00,-3.00,720.78,720.78)	pic(stim637.png,-10.00,-3.00,720.78,720.78)	pic(stim308.png,-10.00,-3.00,720.78,720.78)	pic(stim159.png,-10.00,-3.00,720.78,720.78)	pic(stim326.png,-10.00,-3.00,720.78,720.78)	pic(stim555.png,-10.00,-3.00,720.78,720.78)	pic(stim513.png,-10.00,-3.00,720.78,720.78)	pic(stim060.png,-10.00,-3.00,720.78,720.78)	pic(stim211.png,-10.00,-3.00,720.78,720.78)	pic(stim137.png,-10.00,-3.00,720.78,720.78)	pic(stim110.png,-10.00,-3.00,720.78,720.78)	pic(stim457.png,-10.00,-3.00,720.78,720.78)	pic(stim151.png,-10.00,-3.00,720.78,720.78)	pic(stim173.png,-10.00,-3.00,720.78,720.78)	pic(stim414.png,-10.00,-3.00,720.78,720.78)	pic(stim452.png,-10.00,-3.00,720.78,720.78)	pic(stim583.png,-10.00,-3.00,720.78,720.78)
4	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim031.png,-10.00,-3.00,720.78,720.78)	pic(stim084.png,-10.00,-3.00,720.78,720.78)	pic(stim135.png,-10.00,-3.00,720.78,720.78)	pic(stim519.png,-10.00,-3.00,720.78,720.78)	pic(stim150.png,-10.00,-3.00,720.78,720.78)	pic(stim128.png,-10.00,-3.00,720.78,720.78)	pic(stim286.png,-10.00,-3.00,720.78,720.78)	pic(stim229.png,-10.00,-3.00,720.78,720.78)	pic(stim539.png,-10.00,-3.00,720.78,720.78)	pic(stim454.png,-10.00,-3.00,720.78,720.78)	pic(stim427.png,-10.00,-3.00,720.78,720.78)	pic(stim429.png,-10.00,-3.00,720.78,720.78)	pic(stim545.png,-10.00,-3.00,720.78,720.78)	pic(stim240.png,-10.00,-3.00,720.78,720.78)	pic(stim323.png,-10.00,-3.00,720.78,720.78)	pic(stim468.png,-10.00,-3.00,720.78,720.78)	pic(stim530.png,-10.00,-3.00,720.78,720.78)	pic(stim253.png,-10.00,-3.00,720.78,720.78)	pic(stim409.png,-10.00,-3.00,720.78,720.78)	pic(stim424.png,-10.00,-3.00,720.78,720.78)
5	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim544.png,-10.00,-3.00,720.78,720.78)	pic(stim589.png,-10.00,-3.00,720.78,720.78)	pic(stim380.png,-10.00,-3.00,720.78,720.78)	pic(stim186.png,-10.00,-3.00,720.78,720.78)	pic(stim107.png,-10.00,-3.00,720.78,720.78)	pic(stim230.png,-10.00,-3.00,720.78,720.78)	pic(stim578.png,-10.00,-3.00,720.78,720.78)	pic(stim418.png,-10.00,-3.00,720.78,720.78)	pic(stim121.png,-10.00,-3.00,720.78,720.78)	pic(stim489.png,-10.00,-3.00,720.78,720.78)	pic(stim499.png,-10.00,-3.00,720.78,720.78)	pic(stim626.png,-10.00,-3.00,720.78,720.78)	pic(stim622.png,-10.00,-3.00,720.78,720.78)	pic(stim172.png,-10.00,-3.00,720.78,720.78)	pic(stim115.png,-10.00,-3.00,720.78,720.78)	pic(stim080.png,-10.00,-3.00,720.78,720.78)	pic(stim056.png,-10.00,-3.00,720.78,720.78)	pic(stim342.png,-10.00,-3.00,720.78,720.78)	pic(stim381.png,-10.00,-3.00,720.78,720.78)	pic(stim309.png,-10.00,-3.00,720.78,720.78)
6	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim573.png,-10.00,-3.00,720.78,720.78)	pic(stim602.png,-10.00,-3.00,720.78,720.78)	pic(stim393.png,-10.00,-3.00,720.78,720.78)	pic(stim579.png,-10.00,-3.00,720.78,720.78)	pic(stim399.png,-10.00,-3.00,720.78,720.78)	pic(stim605.png,-10.00,-3.00,720.78,720.78)	pic(stim180.png,-10.00,-3.00,720.78,720.78)	pic(stim441.png,-10.00,-3.00,720.78,720.78)	pic(stim395.png,-10.00,-3.00,720.78,720.78)	pic(stim483.png,-10.00,-3.00,720.78,720.78)	pic(stim162.png,-10.00,-3.00,720.78,720.78)	pic(stim233.png,-10.00,-3.00,720.78,720.78)	pic(stim148.png,-10.00,-3.00,720.78,720.78)	pic(stim092.png,-10.00,-3.00,720.78,720.78)	pic(stim529.png,-10.00,-3.00,720.78,720.78)	pic(stim088.png,-10.00,-3.00,720.78,720.78)	pic(stim552.png,-10.00,-3.00,720.78,720.78)	pic(stim260.png,-10.00,-3.00,720.78,720.78)	pic(stim201.png,-10.00,-3.00,720.78,720.78)	pic(stim347.png,-10.00,-3.00,720.78,720.78)
7	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim306.png,-10.00,-3.00,720.78,720.78)	pic(stim632.png,-10.00,-3.00,720.78,720.78)	pic(stim220.png,-10.00,-3.00,720.78,720.78)	pic(stim101.png,-10.00,-3.00,720.78,720.78)	pic(stim332.png,-10.00,-3.00,720.78,720.78)	pic(stim404.png,-10.00,-3.00,720.78,720.78)	pic(stim345.png,-10.00,-3.00,720.78,720.78)	pic(stim392.png,-10.00,-3.00,720.78,720.78)	pic(stim178.png,-10.00,-3.00,720.78,720.78)	pic(stim289.png,-10.00,-3.00,720.78,720.78)	pic(stim503.png,-10.00,-3.00,720.78,720.78)	pic(stim570.png,-10.00,-3.00,720.78,720.78)	pic(stim490.png,-10.00,-3.00,720.78,720.78)	pic(stim351.png,-10.00,-3.00,720.78,720.78)	pic(stim335.png,-10.00,-3.00,720.78,720.78)	pic(stim542.png,-10.00,-3.00,720.78,720.78)	pic(stim423.png,-10.00,-3.00,720.78,720.78)	pic(stim256.png,-10.00,-3.00,720.78,720.78)	pic(stim553.png,-10.00,-3.00,720.78,720.78)	pic(stim006.png,-10.00,-3.00,720.78,720.78)
8	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim576.png,-10.00,-3.00,720.78,720.78)	pic(stim310.png,-10.00,-3.00,720.78,720.78)	pic(stim595.png,-10.00,-3.00,720.78,720.78)	pic(stim313.png,-10.00,-3.00,720.78,720.78)	pic(stim339.png,-10.00,-3.00,720.78,720.78)	pic(stim403.png,-10.00,-3.00,720.78,720.78)	pic(stim294.png,-10.00,-3.00,720.78,720.78)	pic(stim466.png,-10.00,-3.00,720.78,720.78)	pic(stim296.png,-10.00,-3.00,720.78,720.78)	pic(stim337.png,-10.00,-3.00,720.78,720.78)	pic(stim504.png,-10.00,-3.00,720.78,720.78)	pic(stim281.png,-10.00,-3.00,720.78,720.78)	pic(stim501.png,-10.00,-3.00,720.78,720.78)	pic(stim097.png,-10.00,-3.00,720.78,720.78)	pic(stim274.png,-10.00,-3.00,720.78,720.78)	pic(stim032.png,-10.00,-3.00,720.78,720.78)	pic(stim394.png,-10.00,-3.00,720.78,720.78)	pic(stim520.png,-10.00,-3.00,720.78,720.78)	pic(stim021.png,-10.00,-3.00,720.78,720.78)	pic(stim478.png,-10.00,-3.00,720.78,720.78)
9	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim376.png,-10.00,-3.00,720.78,720.78)	pic(stim560.png,-10.00,-3.00,720.78,720.78)	pic(stim635.png,-10.00,-3.00,720.78,720.78)	pic(stim449.png,-10.00,-3.00,720.78,720.78)	pic(stim052.png,-10.00,-3.00,720.78,720.78)	pic(stim531.png,-10.00,-3.00,720.78,720.78)	pic(stim119.png,-10.00,-3.00,720.78,720.78)	pic(stim245.png,-10.00,-3.00,720.78,720.78)	pic(stim443.png,-10.00,-3.00,720.78,720.78)	pic(stim036.png,-10.00,-3.00,720.78,720.78)	pic(stim537.png,-10.00,-3.00,720.78,720.78)	pic(stim523.png,-10.00,-3.00,720.78,720.78)	pic(stim535.png,-10.00,-3.00,720.78,720.78)	pic(stim131.png,-10.00,-3.00,720.78,720.78)	pic(stim268.png,-10.00,-3.00,720.78,720.78)	pic(stim465.png,-10.00,-3.00,720.78,720.78)	pic(stim541.png,-10.00,-3.00,720.78,720.78)	pic(stim371.png,-10.00,-3.00,720.78,720.78)	pic(stim369.png,-10.00,-3.00,720.78,720.78)	pic(stim416.png,-10.00,-3.00,720.78,720.78)
10	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim362.png,-10.00,-3.00,720.78,720.78)	pic(stim636.png,-10.00,-3.00,720.78,720.78)	pic(stim509.png,-10.00,-3.00,720.78,720.78)	pic(stim125.png,-10.00,-3.00,720.78,720.78)	pic(stim040.png,-10.00,-3.00,720.78,720.78)	pic(stim057.png,-10.00,-3.00,720.78,720.78)	pic(stim251.png,-10.00,-3.00,720.78,720.78)	pic(stim228.png,-10.00,-3.00,720.78,720.78)	pic(stim078.png,-10.00,-3.00,720.78,720.78)	pic(stim460.png,-10.00,-3.00,720.78,720.78)	pic(stim090.png,-10.00,-3.00,720.78,720.78)	pic(stim005.png,-10.00,-3.00,720.78,720.78)	pic(stim609.png,-10.00,-3.00,720.78,720.78)	pic(stim300.png,-10.00,-3.00,720.78,720.78)	pic(stim102.png,-10.00,-3.00,720.78,720.78)	pic(stim239.png,-10.00,-3.00,720.78,720.78)	pic(stim169.png,-10.00,-3.00,720.78,720.78)	pic(stim607.png,-10.00,-3.00,720.78,720.78)	pic(stim086.png,-10.00,-3.00,720.78,720.78)	pic(stim246.png,-10.00,-3.00,720.78,720.78)
