Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
1	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
2	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
3	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
4	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
5	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
6	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
7	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
8	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
9	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir17.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
10	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir17.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
11	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad17.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
12	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad17.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
13	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir31.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
14	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir31.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
15	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad31.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
16	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad31.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
17	2	5 6 7	dms	fix(0.00,0.00)	pic(cir47.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
18	2	5 6 7	dms	fix(0.00,0.00)	pic(cir47.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
19	2	5 6 7	dms	fix(0.00,0.00)	pic(rad47.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
