Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
1	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_99.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_123.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_32.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_174.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_40.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_175.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_22.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_152.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_34.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_170.png,-3.00,-3.00,252.27,252.27)
2	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_92.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_146.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_91.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_119.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_35.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_190.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_06.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_112.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_55.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_127.png,-3.00,-3.00,252.27,252.27)
3	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_03.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_165.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_96.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_121.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_68.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_160.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_16.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_148.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_69.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_166.png,-3.00,-3.00,252.27,252.27)
4	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_11.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_136.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_54.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_140.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_30.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_135.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_45.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_115.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_77.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_101.png,-3.00,-3.00,252.27,252.27)
5	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_60.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_105.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_74.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_176.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_78.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_133.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_72.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_186.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_62.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_149.png,-3.00,-3.00,252.27,252.27)
6	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_70.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_184.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_51.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_113.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_33.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_171.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_07.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_147.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_86.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_150.png,-3.00,-3.00,252.27,252.27)
7	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_38.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_163.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_100.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_129.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_58.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_107.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_76.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_134.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_81.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_182.png,-3.00,-3.00,252.27,252.27)
8	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_89.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_196.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_42.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_103.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_28.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_157.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_17.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_143.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_41.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_172.png,-3.00,-3.00,252.27,252.27)
9	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_47.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_187.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_98.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_159.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_80.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_162.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_14.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_128.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_46.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_145.png,-3.00,-3.00,252.27,252.27)
10	1	1	stimulus_show10img	fix(0.00,0.00)	pic(rf_10X10_56.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_164.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_63.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_151.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_93.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_131.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_08.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_194.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_67.png,-3.00,-3.00,252.27,252.27)	pic(rf_10X10_120.png,-3.00,-3.00,252.27,252.27)
