Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6
1	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_12.png,0.00,0.00,864.94,864.94)	pic(rf_29.png,0.00,0.00,864.94,864.94)	pic(rf_34.png,0.00,0.00,864.94,864.94)	pic(rf_14.png,0.00,0.00,864.94,864.94)	pic(rf_11.png,0.00,0.00,864.94,864.94)
2	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_06.png,0.00,0.00,864.94,864.94)	pic(rf_36.png,0.00,0.00,864.94,864.94)	pic(rf_21.png,0.00,0.00,864.94,864.94)	pic(rf_16.png,0.00,0.00,864.94,864.94)	pic(rf_24.png,0.00,0.00,864.94,864.94)
3	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_13.png,0.00,0.00,864.94,864.94)	pic(rf_19.png,0.00,0.00,864.94,864.94)	pic(rf_04.png,0.00,0.00,864.94,864.94)	pic(rf_23.png,0.00,0.00,864.94,864.94)	pic(rf_10.png,0.00,0.00,864.94,864.94)
4	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_27.png,0.00,0.00,864.94,864.94)	pic(rf_20.png,0.00,0.00,864.94,864.94)	pic(rf_03.png,0.00,0.00,864.94,864.94)	pic(rf_28.png,0.00,0.00,864.94,864.94)	pic(rf_22.png,0.00,0.00,864.94,864.94)
5	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_08.png,0.00,0.00,864.94,864.94)	pic(rf_31.png,0.00,0.00,864.94,864.94)	pic(rf_32.png,0.00,0.00,864.94,864.94)	pic(rf_18.png,0.00,0.00,864.94,864.94)	pic(rf_15.png,0.00,0.00,864.94,864.94)
6	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_02.png,0.00,0.00,864.94,864.94)	pic(rf_26.png,0.00,0.00,864.94,864.94)	pic(rf_17.png,0.00,0.00,864.94,864.94)	pic(rf_07.png,0.00,0.00,864.94,864.94)	pic(rf_30.png,0.00,0.00,864.94,864.94)
7	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_33.png,0.00,0.00,864.94,864.94)	pic(rf_35.png,0.00,0.00,864.94,864.94)	pic(rf_01.png,0.00,0.00,864.94,864.94)	pic(rf_09.png,0.00,0.00,864.94,864.94)	pic(rf_25.png,0.00,0.00,864.94,864.94)
8	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_05.png,0.00,0.00,864.94,864.94)	pic(rf_05.png,0.00,0.00,864.94,864.94)	pic(rf_18.png,0.00,0.00,864.94,864.94)	pic(rf_23.png,0.00,0.00,864.94,864.94)	pic(rf_27.png,0.00,0.00,864.94,864.94)
9	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_16.png,0.00,0.00,864.94,864.94)	pic(rf_29.png,0.00,0.00,864.94,864.94)	pic(rf_04.png,0.00,0.00,864.94,864.94)	pic(rf_06.png,0.00,0.00,864.94,864.94)	pic(rf_35.png,0.00,0.00,864.94,864.94)
10	1	1	stimulus_show5img	fix(0.00,0.00)	pic(rf_07.png,0.00,0.00,864.94,864.94)	pic(rf_36.png,0.00,0.00,864.94,864.94)	pic(rf_22.png,0.00,0.00,864.94,864.94)	pic(rf_32.png,0.00,0.00,864.94,864.94)	pic(rf_11.png,0.00,0.00,864.94,864.94)
